id,year,month,day,session,speaker,title,hyperlink
329,1974,October,Friday,M,L. Tom Perry,"“When Thou Art Converted, Strengthen Thy Brethren”",https://www.churchofjesuschrist.org/study/general-conference/1974/10/when-thou-art-converted-strengthen-thy-brethren
330,1974,October,Friday,M,Henry D. Taylor,The Law of the Fast,https://www.churchofjesuschrist.org/study/general-conference/1974/10/the-law-of-the-fast
331,1974,October,Friday,M,Neal A. Maxwell,Why Not Now?,https://www.churchofjesuschrist.org/study/general-conference/1974/10/why-not-now
332,1974,October,Friday,M,Loren C. Dunn,Our Precious Families,https://www.churchofjesuschrist.org/study/general-conference/1974/10/our-precious-families
333,1974,October,Friday,M,Spencer W. Kimball,God Will Not Be Mocked,https://www.churchofjesuschrist.org/study/general-conference/1974/10/god-will-not-be-mocked
334,1975,April,General,Wel,Spencer W. Kimball,"Address Given by President Spencer W. Kimball at Welfare Services Session Saturday, April 5, 1975",https://www.churchofjesuschrist.org/study/general-conference/1975/04/welfare-services-kimball
335,1975,April,General,Wel,Marion G. Romney,"Address Given by President Marion G. Romney at Welfare Services Session Saturday, April 5, 1975",https://www.churchofjesuschrist.org/study/general-conference/1975/04/welfare-services-romney
336,1975,April,Sunday,A,Spencer W. Kimball,Why Do We Continue to Tolerate Sin?,https://www.churchofjesuschrist.org/study/general-conference/1975/04/why-do-we-continue-to-tolerate-sin
337,1975,April,Sunday,A,Boyd K. Packer,An Appeal to Prospective Elders,https://www.churchofjesuschrist.org/study/general-conference/1975/04/an-appeal-to-prospective-elders
338,1975,April,Sunday,A,Joseph B. Wirthlin,Anchored in Testimony,https://www.churchofjesuschrist.org/study/general-conference/1975/04/anchored-in-testimony
339,1975,April,Sunday,A,Neal A. Maxwell,The Man of Christ,https://www.churchofjesuschrist.org/study/general-conference/1975/04/the-man-of-christ
340,1975,April,Sunday,A,Adney Y. Komatsu,My Mother Gained a Better Son,https://www.churchofjesuschrist.org/study/general-conference/1975/04/my-mother-gained-a-better-son
341,1975,April,Sunday,A,S. Dilworth Young,Scouters: Lead Them to a Mission,https://www.churchofjesuschrist.org/study/general-conference/1975/04/scouters-lead-them-to-a-mission
342,1975,April,Sunday,A,LeGrand Richards,"One Lord, One Faith, One Baptism",https://www.churchofjesuschrist.org/study/general-conference/1975/04/one-lord-one-faith-one-baptism
343,1975,April,Sunday,M,Gordon B. Hinckley,The Symbol of Christ,https://www.churchofjesuschrist.org/study/general-conference/1975/04/the-symbol-of-christ
344,1975,April,Sunday,M,A. Theodore Tuttle,Come Drink the Living Water,https://www.churchofjesuschrist.org/study/general-conference/1975/04/come-drink-the-living-water
